question                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,answer                                          ,thematic         ,sub_thematic          ,level     ,points ,times
Quelle chaîne de télévision française programme les émissions « Capital » et « Zone interdite »                                                                                                                                                                                                                                                                                                                                                                                                                       ,{M6 / La 6}                                     ,Médias           ,Chaînes de télévision ,Moyen     ,    15 ,    2
"Dans l’église catholique, quel nom donne-t-on au prêtre qui a reçu la plénitude du sacerdoce et qui a la direction spirituelle d’un diocèse"                                                                                                                                                                                                                                                                                                                                                                         ,{EVEQUE (un)}                                   ,Religion         ,Catholicisme          ,Moyen     ,    15 ,    2
Quel médecin de l’Antiquité grecque est à l’origine du serment prêté par les médecins                                                                                                                                                                                                                                                                                                                                                                                                                                 ,{HIPPOCRATE}                                    ,Médecine         ,Histoire              ,Difficile ,    20 ,    3
AFGHANISTAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,{KABOUL}                                        ,Géographie       ,Capitales             ,Moyen     ,    15 ,    2
AFRIQUE DU SUD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,{PRETORIA}                                      ,Géographie       ,Capitales             ,Moyen     ,    15 ,    2
ALBANIE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,{TIRANA}                                        ,Géographie       ,Capitales             ,Moyen     ,    15 ,    2
AUTRICHE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,{VIENNE}                                        ,Géographie       ,Capitales             ,Moyen     ,    15 ,    2
AZERBAIDJAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,{BAKOu}                                         ,Géographie       ,Capitales             ,Moyen     ,    15 ,    2
BAHAMAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,{NASSAU}                                        ,Géographie       ,Capitales             ,Moyen     ,    15 ,    2
Quelle est la langue officielle de l’Afrique du Sud                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,{ANGLAIS OU AFRIKAANS}                          ,Géographie       ,Langues               ,Moyen     ,    15 ,    2
Quelles sont la langue officielle de l’Algérie                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,{ARABE OU FRANÇAIS}                             ,Géographie       ,Langues               ,Moyen     ,    15 ,    2
Quelles sont les langues officielles du Portugal                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,{PORTUGAIS}                                     ,Géographie       ,Langues               ,Facile    ,    10 ,    1
Quelle est la langue officielle du Bénin                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,{FRANCAIS}                                      ,Géographie       ,Langues               ,Facile    ,    10 ,    1
