question,answer,thematic,subThematic,level,points,times
Quelle équipe nationale a perdu le plus de points lors de la coupe de monde de Rugby France 2023 ?,"""{Namibie}""",Sports,Rugby,Difficile,10,25
Quelle est la durée du match le plus long au tennis ?,"""{11h 05min}""",Sports,Tennis,Difficile,10,28
Quel est ce sport de salle se jouant avec des raquettes caoutchoutées et une balle en celloid que l’on renvoie sur une table en bois munie d’un filet ?,"""{Tennis de table}""",Sports,Tennis de table,Facile,10,26
Quel sport a pour signification la voie du sabre ?,"""{KENDO}""",Sports,Kendo,Difficile,10,24
Quel est le surnom de l’équipe nationale du GHANA ?,"""{LES BLACKS STARS}""",Sports,Football,Facile,10,23
"Originaire de l’Amérique du Nord, ce sport a été codifié en 1867 par le Canadien William George Beers.","""{La Crosse}""",Sports,La Crosse,Difficile,10,30
Quel est le meilleur club de foot au monde ?,"""{Le Réal Madrid}""",Sports,Football,Difficile,10,28
Quel pays est le n°1 au classement FIFA en 2023 ?,"""{L’Argentine}""",Sports,Football,Difficile,10,25
Dans quelle ville ont eu lieu les Jeux Olympiques d’hiver 2006 ?,"""{Turin}""",Sports,Jeux Olympiques,Facile,10,20
Quel est la tenue du sumo ?,"""{Mawashi}""",Sports,Sumo,Facile,10,18
Quel nom porte la tenue du Judo ?,"""{Judogi, Kimono de Judo}""",Sports,Judo,Facile,10,25
Qui est le champion en titre du Taekwondo ?,"""{Shohei Ono}""",Sports,Taekwondo,Difficile,10,23
Quel sport Gareth Bale pratique actuellement ?,"""{Golf}""",Sports,Golf,Facile,10,20
Quel sport de combat japonais signifie « la voie de la souplesse » ?,"""{Le Judo}""",Sports,Judo,Facile,10,19
Quel sport de combat inspiré du Ju-Jistsu fut inventé par Jigoro KANO en 1877 ?,"""{Le Judo}""",Sports,Judo,Difficile,10,22
Quel nom porte l’espace gazonné aménagé autour de chaque trou de golf ?,"""{Green}""",Sports,Golf,Facile,10,21
"Quel métal blanc, dur, de densité 4,54 sert à fabriquer les raquettes ?","""{Le titane}""",Sports,Divers,Difficile,10,24
Sur quel stade évolue le club de football de Valence ?,"""{La Mestalla}""",Sports,Football,Facile,10,26
