question,answer,thematic,subThematic,level,points,times
"Quel est le titre du livre de prière que Jean Pliya a publié en 2010 pour aider le chrétien à expérimenter la présence, la bénédiction et la puissance de Dieu ?","""{Dix étapes de grâce et de Bonheur}""",Littérature,Jean Pliya,Difficile,10,21
"Sous-genre musical du hip-hop et du gangsta rap originaire de Chicago dans les années 2010, caractérisé par ses paroles choquantes ou au contraire irréprochables mais posé sur un rythme irrégulier et qui a connu une ascension fulgurante en 2019 grâce au défunt rappeur Pop Smoke ?","""{La Drill}""",Musique,Drill,Facile,5,21
Quel est le titre de la chanson de Pop Smoke sorti en décembre 2019 qui a popularisé la drill dans le monde entier ?,"""{Dior}""",Musique,Drill,Difficile,10,21
Quel est le nom du rappeur français qui a sorti l’album Drill Fr en 2020 ?,"""{Gazo}""",Musique,Drill,Moyen,10,20
Quel est le titre du morceau de drill sorti en 2020 du rappeur londonien Central Cee qui a popularisé la drill en Angleterre et qui a reçu le prix du meilleur single drill aux MOBO Awards 2021 ?,"""{Loading}""",Musique,Drill,Moyen,10,16
"Quel est le titre du morceau de drill sorti en 2021 par le rappeur ghanéen Black Shérif dans lequel il raconte son parcours, ses difficultés et ses ambitions, dont le clip a atteint 100 millions de vues sur YouTube, classé 1er dans les charts de plusieurs pays et nommé dans la catégorie Best Hip-hop aux Grammy Awards en 2022 ?","""{Kwaku the Traveller}""",Musique,Drill,Difficile,10,16
Quel est le titre du dernier album de drill sorti en 2022 par un artiste émergent dans ce genre musical ?,"""{Rising Drillstar}""",Musique,Drill,Difficile,10,21
"Mot ayant trait au temps, il désigne une année de la vie, le début ou le renouveau de quelque chose.","""{Printemps}""",Politique,Printemps politiques,Facile,5,21
Date exacte de la mort du Colonel Mouammar Khadafi.,"""{20 Octobre 2011}""",Politique,Printemps politiques,Moyen,10,21
Nom donné à la vaste vague révolutionnaire qui traversa l’Europe en 1848-1849.,"""{Printemps des peuples}""",Politique,Printemps politiques,Difficile,10,20
"Quelle ville, par le suicide de Mouhamed Bouazizi, fut le point de départ du printemps arabe ?","""{Sidibouzid}""",Politique,Printemps politiques,Moyen,10,16
"Quel chef politique était au pouvoir en Tchécoslovaquie lors du Printemps de Prague, en 1968 ?","""{Alexander Dubček}""",Politique,Printemps politiques,Difficile,10,16
Quatrième pays du monde par ma superficie et premier producteur mondial de porcs.,"""{Chine}""",Géographie,Chine,Facile,5,21
En quelle année fut fondée la République Populaire de Chine ?,"""{1949}""",Histoire,Chine,Moyen,10,21
Quelle est la plus grande ville du pays ?,"""{Shanghaï}""",Géographie,Chine,Moyen,10,20
C’est la première ethnie du pays.,"""{Han}""",Culture,Chine,Moyen,10,16
Ville dans laquelle fut signé le traité mettant fin à la première guerre de l’opium en 1842 et devenue capitale de la Chine en 1912.,"""{Nankin}""",Histoire,Chine,Difficile,10,16
"Quelle est cette très forte dépression qui prend naissance au-dessus des eaux chaudes des océans de la zone intertropicale, et qui s’accompagne de vents très violents et de pluies torrentielles ?","""{Ouragan, Cyclone, Hurricane, Typhon}""",Météorologie,Cyclones,Moyen,5,21
Selon quelle échelle les cyclones sont-ils classés par intensité ?,"""{Saffir-Simpson}""",Météorologie,Cyclones,Moyen,10,21
"Quand (mois et année), Katrina a-t-elle frappé le Sud-ouest des USA ?","""{Aout 2005}""",Météorologie,Ouragan Katrina,Moyen,10,20
Quels sont les trois états les plus durement frappés par Katrina ?,"""{Louisiane, Mississipi, Alabama}""",Météorologie,Ouragan Katrina,Moyen,10,16
Quel est le nom de l’ouragan qui a récemment frappé ?,"""{Irène}""",Météorologie,Cyclones,Moyen,10,16
A quelle occasion Usain Bolt établit-il son record du monde de 9s58 au 100m ?,"""{Championnat du monde d’athlétisme de Berlin 2009 (16 Août)}""",Athlétisme,100m Record,Difficile,5,25
Qui détient le record du monde féminin du 100m ?,"""{Florence Griffith-Joyner (10s49 le 16 juillet 1988 à Indianapolis)}""",Athlétisme,100m Record,Moyen,10,22
Qui est le premier blanc à courir le 100 m en moins de 10 s ?,"""{Christophe Lemaître}""",Athlétisme,100m,Moyen,10,20
"Trois sprinters détiennent à eux seuls les dix meilleures performances de tous les temps, qui sont-ils ?","""{Usain Bolt, Asafa Powell, Tyson Gay}""",Athlétisme,Sprint,Difficile,10,20
Qui est l’actuelle championne du monde féminine ?,"""{Carmelita Jeter (américaine en 10 s 49)}""",Athlétisme,Championnat du Monde,Moyen,10,18
Sculpture ou ouvrage architectural permettant de rappeler un évènement ou une personne. Sa signification première est tombeau : Monument,"""{Monument}""",Architecture,Monument,Très Facile,5,18
Où se trouve le Colisée ?,"""{Italie}""",Architecture,Colisée,Facile,10,20
Quel pays abrite le Taj Mahal ?,"""{Inde}""",Architecture,Taj Mahal,Facile,10,22
Où se trouve la Machu Picchu ?,"""{Pérou}""",Architecture,Machu Picchu,Moyen,10,24
Où se trouve le Grand Canyon ?,"""{USA}""",Architecture,Grand Canyon,Moyen,10,26
Où se trouve le temple de Karnak ?,"""{En Egypte}""",Architecture,Temple de Karnak,Moyen,10,28
Où se trouvent les tombeaux royaux de Méroé ?,"""{Soudan}""",Architecture,Tombeaux royaux de Méroé,Moyen,10,30
Partie d’une plante produite après floraison et contenant une ou plusieurs graines : FRUIT,"""{Fruit}""",Botanique,Fruit,Très Facile,5,16
Quel est ce fruit fréquent en Afrique à la chair orange avec des graines noires pouvant être avalées ?,"""{Papaye}""",Botanique,Fruits d'Afrique,Facile,10,20
"Quel est le fruit, souvent considéré comme un légume, le plus consommé au monde ?","""{Tomate}""",Botanique,Fruits dans la cuisine,Facile,10,24
Quel est le fruit qui abrite la maison de Bob l’éponge ?,"""{Ananas}""",Botanique,Fruits dans la culture populaire,Moyen,10,28
Quel est le fruit souvent placé sur un gâteau dans une expression célèbre ?,"""{Cerise}""",Botanique,Fruits dans la cuisine,Moyen,10,32
"Chose qui cause une grande admiration par sa beauté, sa grandeur, sa valeur.","""{Merveille}""",Culture générale,Merveilles,Très Facile,5,16
3ème merveille du monde antique,"""{Statue chryséléphantine de Zeus}""",Histoire,Merveilles du Monde Antique,Facile,10,20
6ème merveille du monde antique,"""{Le Colosse de Rhodes}""",Histoire,Merveilles du Monde Antique,Facile,10,24
1ère merveille du monde antique,"""{La pyramide de Khéops}""",Histoire,Merveilles du Monde Antique,Moyen,10,28
2ème merveille du monde antique,"""{Les jardins suspendus de Babylone}""",Histoire,Merveilles du Monde Antique,Moyen,10,32
"Quelle science étude la matière et ses transformations, les atomes et les molécules ?","""{Chimie}""",Sciences,Chimie,Très Facile,5,16
Qui est le père de la chimie moderne ?,"""{Antoine Lavoisier}""",Histoire,Chimie,Facile,10,20
Quel chimiste Suédois découvre l’acide tartrique ?,"""{Carl Wilhelm Scheele}""",Personnalités,Chimie,Moyen,10,24
Quelles sont les trois grandes branches de la chimie ?,"""{Chimie générale, Chimie descriptive, Chimie analytique}""",Sciences,Chimie,Moyen,10,28
Quel est le nom commercial de l’acide acétylsalicylique ?,"""{Aspirine}""",Sciences,Chimie,Moyen,10,32
