question,answer,thematic,subThematic,level,points,times
Qu’est-ce qui protège la tête ?,"""{Crâne}""",Anatomie,Parties du corps,Facile,10,18
Qu’est-ce qui provoque le paludisme ?,"""{Piqure du plasmodium}""",Santé,Maladies,Moyen,10,26
Qui est le deuxième président du Bénin ?,"""{Sourou Migan APITHY}""",Histoire,Présidents,Difficile,10,28
Qui est le 34ème président des USA ?,"""{Dwight D. Eisenhower}""",Histoire,Présidents,Difficile,10,27
Quel poste occupait la vice-présidente du Bénin dans l’Assemblée Nationale ?,"""{Vice-présidente}""",Politique,Fonctions politiques,Facile,10,23
Qui est le plus suivi sur INSTAGRAM ?,"""{Christiano Ronaldo}""",Réseaux sociaux,Instagram,Facile,10,22
Qui est le deuxième meilleur buteur de l’histoire du PSG ?,"""{Cavani}""",Football,Paris Saint-Germain,Moyen,10,24
Quelle équipe nationale de football a battu l’Argentine en Coupe du Monde U17 2023 ?,"""{Sénégal}""",Football,Coupe du Monde U17,Moyen,10,25
Quel est le pays le plus peuplé au monde ?,"""{Inde}""",Démographie,Population mondiale,Facile,10,19
Qui est le Ballon d'Or africain 2022 ?,"""{Mané Sadio}""",Football,Récompenses,Difficile,10,27
Où se trouvent les oasis ?,"""{Dans le désert}""",Géographie,Oasis,Facile,10,21
Quel est le plus grand fleuve du Bénin ?,"""{Ouémé}""",Géographie,Rivières,Facile,10,20
Qui a dit 'L’obéissance à la loi qu’on s’est prescrite est liberté' ?,"""{Jean-Jacques ROUSSEAU}""",Philosophie,Citations,Difficile,10,26
Quel est le plus petit pays en matière de population ?,"""{Vatican}""",Géographie,Populations,Facile,10,20
En quelle année la NBA a été créée ?,"""{1946}""",Sports,Basketball,Facile,10,21
En quelle année l’Air Force des USA a été créée ?,"""{1947}""",Histoire,Forces armées,Moyen,10,22
Quelle est la plus grande capitale en matière de superficie ?,"""{Ulanbaatar}""",Géographie,Capitales,Moyen,10,23
Combien d’occasions Joselu a-t-il manquées pendant le match retour du Real face au Napoli ?,"""{4}""",Football,Joueurs,Moyen,10,24
Quel nom porte la tenue du Taekwondo ?,"""{Dobok}""",Sports,Arts martiaux,Facile,10,20
Comment appelle-t-on l’association de fer et de carbone ?,"""{Acier}""",Chimie,Alliages,Facile,10,19
Combien d’états comportent les USA ?,"""{50}""",Géographie,États,Facile,10,18
Que veut dire FBI ?,"""{Federal Bureau of Investigation}""",Organisations,Agences gouvernementales,Facile,10,20
Qui a utilisé pour la première fois le fluide royal dans One Piece ?,"""{Rayleigh}""",Manga,One Piece,Difficile,10,26
Comment s’appelle le dieu de la destruction de l’univers 11 dans Dragon Ball Super ?,"""{Vermoud}""",Manga,Dragon Ball Super,Difficile,10,25
Dans quel pays se trouve Nantong ?,"""{Chine}""",Géographie,Villes,Facile,10,21
Quelle est la superficie des Seychelles ?,"""{455 km2}""",Géographie,Pays,Facile,10,22
Quel est le plus petit état des USA ?,"""{Rhode Island}""",Géographie,États,Facile,10,23
Combien d’états composent le Nigeria ?,"""{36}""",Géographie,États,Moyen,10,24
Que veut dire 'Si vis pacem para bellum' ?,"""{Qui veut la paix prépare la guerre}""",Langues,Citations latines,Moyen,10,26
Quelle est la plus grande usine de papeterie du monde ?,"""{La papeterie d’Oji Paper à Nantong}""",Industrie,Papeterie,Difficile,10,28
Quel est le plus grand état du Nigeria ?,"""{Lagos}""",Géographie,États,Facile,10,22
À quel âge la Reine Elisabeth est-elle morte ?,"""{96 ans}""",Personnalités,Morts célèbres,Facile,10,24
Pays du monde ayant la plus grande superficie,"""{La Fédération de la Russie}""",Géographie,Pays,Facile,10,21
Quelle planète est la plus proche de la Terre ?,"""{Mercure}""",Astronomie,Planètes,Facile,10,20
Quelle ligne imaginaire sépare le monde en deux hémisphères ?,"""{L’Équateur}""",Géographie,Lignes imaginaires,Facile,10,22
Comment appelle-t-on une année qui compte 366 jours ?,"""{Année bissextile}""",Calendrier,Années,Facile,10,21
Formule chimique du sel de cuisine,"""{NaCl}""",Chimie,Composés,Facile,10,20
Où trouve-t-on les oasis ?,"""{Dans les déserts}""",Géographie,Oasis,Facile,10,19
L’arme à feu la plus répandue au monde,"""{Le fusil d’assaut AK-47}""",Armement,Armes à feu,Moyen,10,24
Premier pape de l’église catholique,"""{Saint Pierre}""",Religion,Catholicisme,Moyen,10,23
Qui est la Miss Univers 2023?,"""{Sheynnis Palacios, Nicaragua}""",Événements,Miss Univers,Difficile,10,25
Quelle est la ville la plus peuplée du monde ?,"""{Tokyo}""",Géographie,Villes,Facile,10,22
"En biologie, que signifie ARN ?","""{Acide Ribonucléique}""",Biologie,Acronymes,Facile,10,20
Que signifie GMT ?,"""{Greenwich Meridian Time}""",Heure,Fuseaux horaires,Facile,10,21
Nombre de côtés d’un hendécagone,"""{11}""",Mathématiques,Géométrie,Facile,10,19
Masculin du mot bru,"""{Gendre}""",Langue française,Genre,Facile,10,20
Nom de la première femme qui est allée dans l’espace,"""{Valentina Terechkova}""",Exploration spatiale,Astronautes,Difficile,10,27
Quel chien stupide trouve-t-on dans les aventures de Lucky Luke ?,"""{Rantanplan}""",Bande dessinée,Lucky Luke,Facile,10,20
Plus petit cours d’eau du monde,"""{Le D}""",Géographie,Rivières,Difficile,10,26
L’animal le plus intelligent au monde,"""{Le Chimpanzé}""",Zoologie,Animaux intelligents,Moyen,10,25
Quel est le fruit le plus consommé au monde ?,"""{La Banane}""",Alimentation,Fruits,Facile,10,22
"Chez l’homme, quel conduit fait communiquer l’oreille moyenne avec les fosses navales ?","""{La trompe d’Eustache}""",Anatomie,Oreille,Moyen,10,24
Quel fleuve des USA arrose Washington :,"""{POTOMAC}""",Géographie,Rivières,Facile,10,23
Quel est le Dieu grec de la magie et de la divination :,"""{Hécate}""",Mythologie,Dieux grecs,Moyen,10,25
Comment qualifie-t-on 50 ans d’anniversaire de mariage:,"""{Noce d’OR}""",Événements,Anniversaires de mariage,Facile,10,21
Comment appelle-t-on la femelle du lièvre:,"""{La HASE}""",Zoologie,Animaux,Facile,10,22
Quel est le symbole du roi DAKODONOU:,"""{Jarre, massue de guerre}""",Symboles,Royauté,Difficile,10,27
Qui a joué le rôle de Jake Bauer dans la série « 24h Chrono » :,"""{Kiefer Sutherland}""",Télévision,Acteurs,Difficile,10,26
Quel ordre fut fondé par la mère Teresa :,"""{Missionnaire de la charité}""",Religion,Ordres religieux,Moyen,10,24
Quelle petite fête commémore la fin du Ramadan :,"""{Aïd el-Fitr, Aïd el-Seghir}""",Religion,Islam,Moyen,10,25
Dans quelle ville peut-on contempler le Taj Mahal :,"""{AGRA}""",Tourisme,Monuments,Facile,10,22
Comment appelle-t-on la partie postérieure et inférieure de la tête :,"""{Occiput}""",Anatomie,Tête,Moyen,10,24
Quelle langue parlent les autochtones de NIKKI:,"""{BARIBA}""",Langues,Langues locales,Facile,10,20
Comment s’appelle la dernière poche de l’estomac:,"""{La caillette}""",Anatomie,Système digestif,Moyen,10,24
Où fut lâchée la première bombe atomique :,"""{Hiroshima}""",Histoire,Seconde Guerre mondiale,Difficile,10,26
Quel pays a pour capitale Sanaa:,"""{Yémen}""",Géographie,Capitales,Moyen,10,24
Qui a écrit « les contes du chat perché »:,"""{Marcel Aymé}""",Littérature,Contes,Facile,10,22
Qui a inventé la balle de fusil :,"""{Roger Bacon}""",Inventions,Armement,Difficile,10,27
Définissez UNICEF en français:,"""{Fonds des Nations Unies pour l'enfance}""",Organisations internationales,UNICEF,Facile,10,23
"De qui est cette citation « En Afrique lorsqu’un vieillard meurt, c’est comme une bibliothèque qui brûle »:","""{Hamadou Cheik Hamapaté Ba}""",Citations,Auteurs,Difficile,10,27
Compléter la suite suivante : J-F-M-A-M-J-J :,"""{A- S-O-N-D}""",Calendrier,Mois de l'année,Facile,10,22
"Quel nom porte l’édifice religieux bouddhique, en Extrême-Orient ?","""{Pagode}""",Religions,Bouddhisme,Facile,10,22
Quel roi voit son statut érigé à l’entrée de la ville de Parakou ?,"""{Bio Guéra}""",Histoire,Rois,Moyen,10,24
Quelle est la spécialité culinaire de la commune d’Allada ?,"""{Agouti}""",Gastronomie,Spécialités locales,Facile,10,23
Quel artiste ghanéen a chanté Africa money ?,"""{Sydney4}""",Musique,Artistes,Moyen,10,24
Comment appelle-t-on les habitants de la Conakry ?,"""{Conakrytas}""",Géographie,Dénominations,Facile,10,22
"Dans quelle ville et État francophone, le moustique est-il appelé maringouin ?","""{Québec}""",Langues,Francophonie,Moyen,10,24
De quelle maladie le bacille de Bordet Gengou est-il responsable ?,"""{Coqueluche}""",Médecine,Maladies,Difficile,10,27
Quel animal fut à l’origine de la fondation de la ville de Rome ?,"""{La Louve}""",Histoire,Légendes,Difficile,10,26
Quel président africain est mort le plus 8 Mai 2005 ?,"""{Hubert MAGA}""",Histoire,Présidents africains,Difficile,10,27
Quel nom porte la mort par excès de travail au Japon ?,"""{Karochi}""",Culture,Mort,Moyen,10,24
Quel est le nom de la bague portée par le Pape et qui est brisée à sa mort ?,"""{Anneau du pêcheur}""",Religions,Symboles,Difficile,10,27
Dans quel pays se pratique le Caodaïsme ?,"""{Vietnam}""",Religions,Caodaïsme,Moyen,10,24
Quelle est l’unité de mesure de l’intensité lumineuse ?,"""{Le Candela}""",Physique,Mesures,Moyen,10,24
Quelle est l’unité de mesure du diamant et des pierres précieuses ?,"""{Carat}""",Minéralogie,Gemmes,Facile,10,23
Quelle est l’année de l’assassinat de Patrice LUMUMBA ?,"""{1961}""",Histoire,Événements,Moyen,10,24
"En musique, qu’est-ce qui peut être de Do, de Sol ou de Fa ?","""{Clef}""",Musique,Notation,Facile,10,22
Nombres de couleurs de l’arc-en-ciel,"""{7}""",Sciences,Couleurs,Facile,10,22
Quel autre nom est donné au Néolithique ?,"""{L’âge de la pierre polie}""",Histoire,Préhistoire,Facile,10,23
Sur quel continent trouve-t-on les Alpes ?,"""{Europe}""",Géographie,Montagnes,Facile,10,22
Qui est le troisième fils d’Adam et Ève ?,"""{Seth}""",Religions,Bible,Moyen,10,24
Définissez le sigle UEMOA,"""{Union Economique Monétaire Ouest Africaine}""",Économie,Organisations,Difficile,10,27
Pays d’origine de Christophe Colomb,"""{Italie}""",Histoire,Explorateurs,Facile,10,22
De quelle plante tire-t-on le tapioca ?,"""{Manioc}""",Agriculture,Cultures,Facile,10,22
Diamètre d’un CD,"""{12cm}""",Technologie,Supports numériques,Facile,10,22
Nom donné à une extinction de voix,"""{Aphonie}""",Médecine,Maladies,Facile,10,22
Qui est le propriétaire de la voiture la plus chère du monde ?,"""{Le prince Saoudien Badr Bin Saud}""",Automobile,Records,Difficile,10,27
Qui a inventé le mot ‘’Avion’’ ?,"""{Clément Ader}""",Histoire,Inventions,Difficile,10,27
Dans quel pays se trouve le pont le plus vieux du monde ?,"""{Grèce}""",Géographie,Ponts,Moyen,10,24
Comment s’appelle le volcan qui a détruit Pompéi ?,"""{Vésuve}""",Géologie,Volcans,Moyen,10,24
Qui a tué Ben Laden,"""{Le tireur d’élite Robert O’Neill}""",Histoire,Événements contemporains,Difficile,10,27
Quel pays s’appelait autrefois le Siam ?,"""{La Thaïlande}""",Histoire,Noms anciens,Moyen,10,24
Quelle est la principale culture agricole de la Chine ?,"""{Le Riz}""",Agriculture,Cultures,Facile,10,22
Quel pays fait le meilleur vin ?,"""{Australie}""",Cuisine,Vins,Moyen,10,24
Quel est le médicament le plus usité au monde ?,"""{Le Paracétamol}""",Médecine,Médicaments,Facile,10,22
Qui est le premier auteur connu de fables ?,"""{Esope}""",Littérature,Fables,Moyen,10,24
"Quel est le nom du célèbre sculpteur italien qui a réalisé des œuvres comme le David, la Pieta ou le Moïse :","""{Michel-Ange}""",Art,Sculpture,Difficile,10,27
Quel est le nom de la planète la plus proche du soleil :,"""{Mercure}""",Astronomie,Planètes,Facile,10,22
Quel est le nom de la déesse de la victoire chez les Grecs :,"""{Niké}""",Mythologie,Déesses,Facile,10,22
"Quel est le nom du célèbre astronaute polonais qui a proposé le modèle héliocentrique, selon lequel la Terre et les autres planètes tournent autour du soleil ?","""{Nicolas Copernic}""",Astronomie,Modèles célestes,Difficile,10,27
Quel est le nom de la capitale de la Grèce :,"""{Athènes}""",Géographie,Villes,Facile,10,22
Quel est le nom de la discipline sportive qui consiste à faire des figures acrobatiques sur une planche à roulettes :,"""{Skateboard}""",Sport,Disciplines acrobatiques,Facile,10,22
Quel est le nom du célèbre peintre néerlandais qui a réalisé La nuit étoilée :,"""{Vincent Van Gogh}""",Art,Peinture,Moyen,10,24
Quel est le plus grand désert au monde :,"""{Sahara}""",Géographie,Déserts,Facile,10,22
Quel est le nom du célèbre physicien allemand qui a formulé la théorie de la relativité :,"""{Albert Einstein}""",Physique,Théorie de la relativité,Difficile,10,27
"Quel est le nom de la grande île au monde, située entre l’océan Atlantique et l’océan Arctique :","""{Le Groenland}""",Géographie,Îles,Moyen,10,24
Quel est le nom du peintre espagnol qui a inventé le cubisme :,"""{Pablo Picasso}""",Art,Peinture,Difficile,10,27
Quel est le nom de la capitale du Canada :,"""{Ottawa}""",Géographie,Villes,Facile,10,22
Quel est le nom du philosophe français qui a prononcé la célèbre phrase suivante « Je pense donc je suis » :,"""{René Descartes}""",Philosophie,Citations célèbres,Difficile,10,27
Quel est le nom de la molécule organique qui contient le code génétique de tous les êtres vivants :,"""{ADN}""",Biologie,Molécules,Moyen,10,24
Quel est le nom du pays qui a remporté la coupe du monde de 2006 :,"""{Italie}""",Sport,Football,Facile,10,22
"Quel est le nom de la plus haute montagne du monde, située dans la chaîne de l’Himalaya :","""{L’Everest}""",Géographie,Montagnes,Difficile,10,27
"Quel est le nom du plus petit os du corps humain, situé dans l’oreille moyenne ? :","""{Etrier}""",Anatomie,Oreille,Moyen,10,24
"Quel est le nom de la langue la plus parlée au monde, en nombre de locuteurs natifs :","""{Le mandarin}""",Langues,Nombre de locuteurs,Difficile,10,27
Quel est le nom du célèbre dramaturge anglais qui a écrit la pièce Roméo et Juliette :,"""{William Shakespeare}""",Littérature,Théâtre,Difficile,10,28
"Quel est le nom de la discipline sportive consistant à enchaîner 3 épreuves : la natation, le cyclisme et la course à pied :","""{Le triathlon}""",Sport,Triathlon,Moyen,10,25
Quel est le nom de la branche de la biologie qui étudie les plantes :,"""{La botanique}""",Biologie,Botanique,Facile,10,22
Nom du poète ayant écrit L’Iliade et L’Odyssée,"""{Homère}""",Littérature,Poésie épique,Moyen,10,25
Quel est le plus grand animal vivant sur Terre ?,"""{La baleine bleue}""",Biologie,Animaux marins,Difficile,10,28
Comment appelle-t-on les poils situés à l’intérieur des narines de l’homme ?,"""{Les vibrisses}""",Anatomie,Narines,Facile,10,22
Comment s’appelle le chimiste ayant inventé la classification périodique des éléments ?,"""{Dmitri Mendeleïev}""",Chimie,Classification périodique,Difficile,10,28
Qui est le créateur de la saga Star Wars ?,"""{George Lucas}""",Cinéma,Science-Fiction,Moyen,10,25
Quelle est la ville considérée comme la capitale économique de l’Allemagne ?,"""{Francfort}""",Géographie,Villes,Facile,10,22
Quel est le nom de la première bicyclette inventée ?,"""{La draisienne}""",Inventions,Bicyclette,Facile,10,22
Qui est le premier astronaute à avoir effectué une sortie dans l’espace ?,"""{Alexeï Leonov}""",Astronomie,Sortie spatiale,Difficile,10,28
Quel est le nom du fleuve qui forme la frontière entre le Bénin et le Niger ?,"""{Le fleuve Niger}""",Géographie,Fleuves,Facile,10,22
Quelle est la ville du Bénin considérée comme la capitale spirituelle du Vaudou ?,"""{Ouidah}""",Géographie,Villes,Facile,10,22
Pratique funéraire utilisée en Égypte Antique pour la conservation des corps.,"""{La momification}""",Histoire,Égypte Antique,Moyen,10,25
Qui est le deuxième homme à avoir marché sur la lune ?,"""{Buzz Aldrin}""",Astronomie,Exploration lunaire,Difficile,10,28
Quel est le plus grand os du corps humain ?,"""{Le fémur}""",Anatomie,Os,Facile,10,22
Quel est le compositeur de la symphonie n°5 ?,"""{Ludwig Van Beethoven}""",Musique,Classique,Moyen,10,25
Langue officielle de l’Inde,"""{L’hindi}""",Langues,Inde,Facile,10,22
Quel est le plus grand désert au monde en termes de superficie ?,"""{L’Antarctique (14 millions de km^2)}""",Géographie,Déserts,Difficile,10,28
Quel est la ville qui fut détruite par l’éruption du Vésuve en 79 AP. J-C ?,"""{Pompéi}""",Archéologie,Vésuve,Moyen,10,25
Unité monétaire de la Chine,"""{Le yuan}""",Économie,Monnaies,Facile,10,22
Nom du scientifique ayant découvert la pénicilline,"""{Alexander Fleming}""",Médecine,Découvertes médicales,Moyen,10,25
Quel est l’autre nom donné au pétrole ?,"""{L’or Noir}""",Énergie,Pétrole,Facile,10,22
Quelle est la devise de l’Ordre de la Jarretière ?,"""{Honni soit qui mal y pense.}""",Histoire,Ordres chevaleresques,Moyen,10,25
"Cet appareil musical, réelle coqueluche mondiale, a fait sa première apparition le 23 octobre 2001","""{iPod}""",Technologie,Appareils électroniques,Facile,10,22
"Ce 33e président des États-Unis est aussi l'instigateur du plan Marshall, qui est-ce ?","""{Harry S. Truman}""",Histoire,Présidents américains,Moyen,10,25
Quelle écrivaine suédoise fut la première femme à remporter un prix Nobel de littérature ?,"""{Selma Lagerlöf}""",Littérature,Écrivains suédois,Facile,10,22
"Qui Adolf Hitler désigna-t-il comme successeur au poste de Président du Reich dans son testament, en 1945 ?","""{Karl DÖNITZ}""",Histoire,Seconde Guerre mondiale,Difficile,10,28
Sous quel nom connaissons-nous mieux Emmanuel Rudzitsky ?,"""{Man Ray}""",Art,Photographie,Moyen,10,25
La chanson L’internationale fut l’hymne de quel pays de 1922 à 1944 ?,"""{L’URSS}""",Musique,Hymnes nationaux,Facile,10,22
Quelle unité de masse est utilisée pour les pierres précieuses ?,"""{le carat}""",Sciences,Unités de mesure,Facile,10,22
"Quel naturaliste suédois du XVIIIe siècle a inventé un système de nomenclature dit binomiale, qui s’applique aux règnes végétal et animal et qui est encore utilisé aujourd'hui ?","""{Carl von Linné}""",Biologie,Naturalistes,Moyen,10,25
À quoi sert une pendule de Foucault?,"""{À démontrer que la Terre est ronde.}""",Physique,Expériences scientifiques,Moyen,10,25
À quel animal se rattachent les mots « jockey » et « bombe »?,"""{Cheval}""",Langue française,Étymologie,Facile,10,22
Comment surnommait-on le maréchal allemand Erwin Rommel ?,"""{Le renard du désert}""",Histoire,Seconde Guerre mondiale,Moyen,10,25
Par quel terme un psychanalyste expliquerait le fait qu’un petit garçon veuille se marier avec sa mère?,"""{Complexe d’Œdipe}""",Psychologie,Psychanalyse,Moyen,10,25
Dans quelle maladie dégénérative du tissu cérébral l'aluminium a-t-il été identifié comme un facteur potentiel ?,"""{La maladie d'Alzheimer}""",Médecine,Maladies neurodégénératives,Difficile,10,28
Quel est le nom de famille à la naissance de Malcolm X?,"""{Little}""",Histoire,Personnalités,Facile,10,22
Quelle fleur est associée à la couturière Gabrielle Chanel?,"""{Le camélia}""",Mode,Personnalités de la mode,Facile,10,22
Quel traité rédigé en 1494 en Castille établissait le partage du Nouveau Monde entre l’Espagne et le Portugal ?,"""{Traité de Tordesillas}""",Histoire,Découvertes et explorations,Moyen,10,25
Quels sont les noms des deux célèbres personnages littéraires géants de François Rabelais?,"""{Gargantua et Pantagruel}""",Littérature,Personnages littéraires,Moyen,10,25
Quelle est cette peinture de Manet qui représente une prostituée nue étendue sur un lit et servie par une servante noire ?,"""{Olympia}""",Art,Peinture,Moyen,10,25
"En plus d’être une autobiographie, ce livre paru en 1925 est considéré comme une présentation de l’idéologie nazie.","""{Mein Kampf}""",Histoire,Seconde Guerre mondiale,Difficile,10,28
À quel général nordiste doit-on la fameuse « Grand Marche vers la mer »?,"""{William Tecumseh Sherman}""",Histoire,Guerre de Sécession,Moyen,10,25
"Quel langage de programmation, spécialisé en calcul scientifique, fut créé en 1954 par John Backus?","""{Fortran}""",Informatique,Langages de programmation,Moyen,10,25
Quel chef inca est mort à Cuzco en 1533?,"""{Atahualpa}""",Histoire,Civilisations précolombiennes,Difficile,10,28
Quelle doctrine énoncée par un général américain représente un principe d'engagement militaire semblable à la doctrine de la guerre juste ?,"""{Doctrine Powell}""",Histoire,Doctrines militaires,Difficile,10,28
Comment s’appelle le barde du village d’Astérix et Obélix ?,"""{Assurancetourix}""",Littérature,Bande dessinée,Facile,10,22
Cet écrivain français considérait Dostoïevski et Kafka comme étant ses prédécesseurs.,"""{Camus}""",Littérature,Écrivains français,Moyen,10,25
Qui surnommait-on le baron rouge ?,"""{Manfred Von Richthofen}""",Histoire,Première Guerre mondiale,Moyen,10,25
Quel est le nom du plus gros satellite de Jupiter et de tout le système solaire?,"""{Ganymède}""",Astronomie,Système solaire,Moyen,10,25
Comment appelle-t-on la phobie d’être constipé ?,"""{Apopathodiaphulatophobie}""",Psychologie,Phobies,Difficile,10,28
"Dans lequel des James Bond ne peut-on pas entendre : Je m’appelle Bond, James Bond ?","""{Quantum of Solace}""",Cinéma,James Bond,Moyen,10,25
"Sur une carte météorologique, qu'est-ce qui est délimité par des isobars?","""{Les zones de même pression atmosphérique}""",Météorologie,Cartographie,Moyen,10,25
"Durant le IIIème Reich, qui a dirigé les SS et la Gestapo ?","""{Heinrich Himmler}""",Histoire,Seconde Guerre mondiale,Difficile,10,28
Ce japonais fut l'architecte en chef lors de la construction des tours du Centre du Commerce mondial à New York,"""{Minoru Yamasaki}""",Architecture,Gratte-ciels,Difficile,10,28
Quel adjectif tiré du grec signifiant “produit par le feu“ qualifie une pierre formée à partir d’une roche en fusion qui s’est solidifiée ?,"""{Pyrogène}""",Géologie,Roche ignée,Difficile,10,28
"Partageant le nom d’un dramaturge et d’un chanteur, il a été pape de 251 à 253 ; qui suis-je ?","""{Corneille}""",Religion,Papes,Difficile,10,28
"Conçu par les architectes Richard Rogers et Renzo Piano entre 1971 et 1979, quel établissement poly-culturel parisien abrite une importante collection d’art moderne ?","""{Centre Georges Pompidou}""",Art,Musées,Moyen,10,25
Quel est le plus grand pays producteur d’huile d’olive?,"""{Espagne}""",Agriculture,Huile d'olive,Moyen,10,25
La première lettre du nom de ce pays africain apparaît sur son drapeau.,"""{Rwanda}""",Géographie,Drapeaux,Moyen,10,25
Créateur du personnage de bande dessinée Philémon.,"""{Fred}""",Bande Dessinée,Philémon,Moyen,10,25
Quel accord historique fût signé en Irlande du Nord le 10 avril 1998 et mérita à ses deux auteurs le prix Nobel de la paix ?,"""{Accord du Vendredi Saint}""",Histoire,Accords de paix,Moyen,10,25
Quel est le nom de l'alphabet phonétique chinois ?,"""{Pingying}""",Langues,Chinois,Moyen,10,25
Quel Pape est membre honoraire des Harlem Globetrotters ?,"""{Jean-Paul II}""",Religion,Papes insolites,Moyen,10,25
"Qui est l’auteur du plus célèbre ouvrage de Mathématiques, Les Eléments ?","""{Euclide}""",Mathématiques,Auteurs célèbres,Difficile,15,30
"En 1871, comment appelait-on un soldat au service de la commune de Paris ?","""{Un fédéré}""",Histoire,Commune de Paris,Difficile,15,30
"Quel sport de glisse se déroulant sur une piste de glace, pratique-t-on à deux ou à quatre, à bord d’un traîneau monté sur patins ?","""{Bobsleigh}""",Sports,Glisse sur glace,Difficile,15,30
Combien de couches composent l’atmosphère ?,"""{5, troposphère, stratosphère, mésosphère, thermosphère, ionosphère, exosphère}""",Sciences,Atmosphère,Difficile,15,30
Dans quelle ville européenne trouve-t-on le plus long métro?,"""{Londres}""",Géographie,Transports,Difficile,15,30
Physicien qui a inspiré l'unité de mesure de la tension.,"""{Volta (Alessandro)}""",Physique,Unités de mesure,Difficile,15,30
Qui a gagné l’Euro 2020 ?,"""{Italie}""",Football,Compétitions internationales,Facile,10,20
En quelle année a été fondé les USA ?,"""{1778}""",Histoire,Fondation des États-Unis,Facile,10,20
Qui était le 35ème président des USA ?,"""{John Kennedy}""",Histoire,Présidents américains,Facile,10,20
Où est né Thomas SANKARA ?,"""{Yako}""",Géographie,Personnalités,Facile,10,20
Où s’est tenue la coupe du monde 2010 ?,"""{Afrique du Sud}""",Football,Compétitions internationales,Facile,10,20
Quelle ville était connue sous le nom de Léopoldville ?,"""{Kinshasa}""",Géographie,Anciens noms de villes,Facile,10,20
De qui est cette citation « L’homme est un animal politique » ?,"""{Aristote}""",Philosophie,Citations célèbres,Facile,10,20
Où se trouve le mont Fuji ?,"""{Japon}""",Géographie,Montagnes,Facile,10,20
Qui a succédé à Roosevelt ?,"""{Harry Truman}""",Histoire,Présidents américains,Facile,10,20
En quelle année a pris fin la première guerre mondiale ?,"""{1918}""",Histoire,Première Guerre mondiale,Facile,10,20
Où se trouve le triangle de Bermudes ?,"""{Océan Atlantique}""",Géographie,Mystères,Facile,10,20
